global_step,epoch,lr,train_loss,val_loss
596,0,0.00029970514175668516,1.01931465,
597,0,0.00029970365118452217,1.01863420,
598,0,0.0002997021568579953,1.01281345,
599,0,0.00029970065877714196,0.99303824,
600,0,0.0002996991569419998,0.98316324,
600,0,0.0002996991569419998,,1.73010358
601,0,0.00029969765135260643,0.99776924,
602,0,0.0002996961420089997,1.01006031,
603,0,0.00029969462891121725,1.02156174,
604,0,0.00029969311205929724,1.02191114,
605,0,0.00029969159145327767,1.01111901,
606,0,0.0002996900670931966,0.98068333,
607,0,0.0002996885389790923,1.00245667,
608,0,0.0002996870071110031,0.99848610,
609,0,0.00029968547148896744,1.02929115,
610,0,0.0002996839321130238,0.98229283,
611,0,0.0002996823889832107,0.96648371,
612,0,0.00029968084209956703,1.02533746,
613,0,0.0002996792914621314,1.00683224,
614,0,0.0002996777370709429,1.00500107,
615,0,0.0002996761789260403,1.00774372,
616,0,0.00029967461702746275,1.01025093,
617,0,0.00029967305137524946,0.97455734,
618,0,0.0002996714819694396,0.98288953,
619,0,0.00029966990881007274,0.99991435,
620,0,0.0002996683318971881,1.00180662,
621,0,0.0002996667512308254,0.97131395,
622,0,0.0002996651668110241,0.99217588,
623,0,0.0002996635786378241,0.99501264,
624,0,0.00029966198671126516,0.95421112,
625,0,0.0002996603910313872,0.98921663,
626,0,0.0002996587915982302,0.96264344,
627,0,0.0002996571884118344,1.00603890,
628,0,0.0002996555814722399,0.96009648,
629,0,0.00029965397077948695,0.98566324,
630,0,0.0002996523563336161,0.95980978,
631,0,0.00029965073813466775,0.98008001,
632,0,0.00029964911618268243,1.00596225,
633,0,0.00029964749047770093,0.93492430,
634,0,0.0002996458610197639,0.94278210,
635,0,0.00029964422780891237,0.95947623,
636,0,0.00029964259084518715,1.00206017,
637,0,0.0002996409501286293,0.98452795,
638,0,0.00029963930565928004,0.96235842,
639,0,0.00029963765743718055,1.00831378,
640,0,0.0002996360054623722,0.96676368,
641,0,0.00029963434973489644,0.99571401,
642,0,0.00029963269025479476,1.00869095,
643,0,0.0002996310270221088,1.00750625,
644,0,0.00029962936003688023,0.96069866,
645,0,0.00029962768929915086,0.97162491,
646,0,0.00029962601480896264,0.92208797,
647,0,0.00029962433656635754,0.97583377,
648,0,0.0002996226545713776,0.97798926,
649,0,0.00029962096882406514,0.93948370,
650,0,0.00029961927932446226,0.96752453,
651,0,0.00029961758607261146,1.00023317,
652,0,0.0002996158890685551,0.95026004,
653,0,0.0002996141883123358,0.95108974,
654,0,0.0002996124838039962,0.97516811,
655,0,0.00029961077554357913,0.97165620,
656,0,0.00029960906353112724,0.95736897,
657,0,0.0002996073477666837,0.93458819,
658,0,0.00029960562825029135,1.00947213,
659,0,0.0002996039049819934,0.96328306,
660,0,0.00029960217796183304,1.02173412,
661,0,0.0002996004471898536,0.92477137,
662,0,0.0002995987126660985,0.96960300,
663,0,0.0002995969743906111,0.95448315,
664,0,0.00029959523236343524,0.93163425,
665,0,0.0002995934865846144,0.94185698,
666,0,0.0002995917370541925,0.93120009,
667,0,0.00029958998377221333,0.92176354,
668,0,0.0002995882267387209,0.97341913,
669,0,0.00029958646595375915,0.94445473,
670,0,0.00029958470141737246,0.98101699,
671,0,0.00029958293312960495,0.96370900,
672,0,0.00029958116109050095,0.93915069,
